cust_id,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
1586145,17,20,922.7,5,5,5,555
1589272,168,1,19.99,4,1,1,411
1629659,168,1,35.49,4,1,2,412
1650210,72,9,424.90999999999997,5,5,5,555
1677731,168,2,69.98,4,3,3,433
1691762,168,1,32.99,4,1,2,412
1694959,168,1,61.99,4,1,3,413
1711486,168,1,39.0,4,1,2,412
1735456,168,3,66.16000000000001,4,4,3,443
1744805,168,1,20.99,4,1,1,411
1772042,157,6,224.45000000000002,5,5,5,555
1802400,168,2,26.389999999999997,4,3,1,431
1823221,168,1,59.99,4,1,3,413
1832062,168,1,38.9,4,1,2,412
1845216,168,2,66.17999999999999,4,3,3,433
1858923,75,5,214.86,5,5,5,555
1859764,168,1,9.99,4,1,1,411
1870607,168,2,25.98,4,3,1,431
1917572,126,4,70.16,5,4,3,543
1973277,168,1,20.99,4,1,1,411
1977138,168,1,12.99,4,1,1,411
2052738,168,1,17.0,4,1,1,411
2064640,168,2,42.98,4,3,2,432
2092786,79,4,255.32999999999998,5,4,5,545
2100081,168,2,37.09,4,3,2,432
2102460,168,1,30.99,4,1,2,412
2104063,168,1,4.49,4,1,1,411
2117178,168,2,89.89,4,3,4,434
2118769,85,2,76.78,5,3,3,533
2127995,168,1,69.99,4,1,3,413
2131139,168,3,107.97,4,4,4,444
2148175,168,1,33.99,4,1,2,412
2163299,168,1,67.99,4,1,3,413
2170537,168,1,84.99,4,1,4,414
2188734,168,1,31.99,4,1,2,412
2202286,168,2,38.78,4,3,2,432
2276060,168,1,21.99,4,1,1,411
2345280,86,4,228.16000000000003,5,4,5,545
2355465,168,1,23.49,4,1,1,411
2380181,168,1,61.99,4,1,3,413
2403417,168,1,54.99,4,1,3,413
2461107,168,1,49.99,4,1,2,412
2468720,168,2,107.0,4,3,4,434
2484810,7,2,48.98,5,3,2,532
2491572,29,2,51.98,5,3,3,533
2498731,168,1,1.99,4,1,1,411
2500965,7,3,258.93,5,4,5,545
2505629,168,1,34.99,4,1,2,412
2509545,168,2,79.98,4,3,4,434
2511925,168,1,46.99,4,1,2,412
2517879,168,1,20.99,4,1,1,411
2523886,168,1,29.99,4,1,1,411
2523986,168,2,53.98,4,3,3,433
2525089,168,2,86.98,4,3,4,434
2529742,73,8,585.9099999999999,5,5,5,555
2538714,130,2,83.98,5,3,4,534
2539740,168,1,40.99,4,1,2,412
2540711,168,3,99.16999999999999,4,4,4,444
2550372,168,1,47.59,4,1,2,412
2553610,168,1,9.79,4,1,1,411
2563799,168,1,20.99,4,1,1,411
2585885,168,1,8.99,4,1,1,411
2587124,168,2,81.18,4,3,4,434
2587151,168,1,124.95,4,1,4,414
2587366,168,1,4.49,4,1,1,411
2591778,168,1,49.99,4,1,2,412
2595690,70,2,68.98,5,3,3,533
2596228,168,1,143.98,4,1,5,415
2603787,11,7,375.89,5,5,5,555
2617514,168,3,3.4699999999999998,4,4,1,441
2645427,168,1,51.09,4,1,2,412
